Title,ID,Date,Class,Category,Author,ISBN,Publisher,Pub_Date,Order_Time,Count,Cart,Cart_Date,Device,Address1,Address2,user_purchase_count,book_sell_count
엄마를 부탁해,1637,20140813,주문,국내문학,<신경숙> 저,9788936433673,창비,20081024.0,15,1,N,,안드로이드커머스앱,서울특별시,성동구,2,72
내가 사랑한 유럽 TOP10,1638,20140506,주문,국내문학,<정여울> 저/<대한항공 여행사진 공모전 당선작> 등 사진,9788970653976,홍익출판사,20140110.0,3,1,N,,기기PID_PC,경상북도,영주시,5,628
젊은날의 초상,1638,20140729,주문,국내문학,<이문열> 저,9788937420122,민음사,20051125.0,0,1,N,,모바일웹,경상북도,영주시,5,4
나만 알고싶은 유럽 TOP10,1638,20140618,주문,국내문학,<정여울> 저,9788970654195,홍익출판사,20140618.0,6,1,N,,모바일웹,경상북도,영주시,5,145
꿈이 있는 거북이는 지치지 않습니다,1638,20141105,주문,국내문학,<김병만> 저,9788994893150,실크로드,20110810.0,0,1,N,,모바일웹,경상북도,영주시,5,6
새벽에 홀로 깨어,1638,20140729,주문,국내문학,<최치원> 저/<김수영> 편역,9788971992975,돌베개,20080121.0,0,1,N,,모바일웹,경상북도,영주시,5,38
그냥 눈물이 나,1654,20140203,주문,국내문학,<이애경> 저,9788952763235,시공사,20111104.0,18,1,N,,그 외,충청남도,논산시,1,4
넌 내게 반했어 포토 에세이,1670,20140203,주문,국내문학,<임영주> 저,9788994197227,북로그컴퍼니,20110915.0,15,1,N,,그 외,서울특별시,성북구,1,1
엄마 딸이라서 행복해,1680,20141115,주문,국내문학,<홍희선> 저,9788925545585,랜덤하우스코리아,20111222.0,15,1,N,,안드로이드커머스앱,경상남도,산청군,3,1
스페인 너는 자유다,1680,20140409,주문,국내문학,<손미나> 저,9788901059365,웅진지식하우스,20060728.0,18,1,N,,그 외,경상남도,산청군,3,40
내 사람이다,1680,20141115,주문,국내문학,<곽정은> 저,9788993928396,달,20120118.0,15,1,N,,안드로이드커머스앱,경상남도,산청군,3,40
달의 바다,1682,20140311,주문,국내문학,<정한아> 저,9788954603645,문학동네,20070731.0,20,1,N,,그 외,부산광역시,해운대구,3,1
수난이대,1682,20140906,주문,국내문학,<하근찬> 저/<김경원> 편,9788965881414,사피엔스21,20120706.0,15,1,N,,안드로이드커머스앱,부산광역시,해운대구,3,12
까칠한 재석이가 열받았다,1682,20140818,주문,국내문학,<고정욱> 저,9788994353487,애플북스,20140613.0,16,1,N,,기기PID_PC,부산광역시,해운대구,3,17
소설 북의 1,1693,20140718,주문,국내문학,<최지영> 저,9788950955304,21세기북스,20140513.0,13,1,N,,기기PID_PC,경기도,과천시,3,11
소설 북의 2,1693,20140718,주문,국내문학,<최지영> 저,9788950955311,21세기북스,20140520.0,13,1,N,,기기PID_PC,경기도,과천시,3,9
2014 제5회 젊은작가상 수상작품집,1693,20140718,주문,국내문학,"<황정은>,<조해진>,<윤이형>,<최은미>,<기준영>,<손보미>,<최은영> 공저",9788954624473,문학동네,20140423.0,13,1,N,,기기PID_PC,경기도,과천시,3,46
나이팅게일의 눈물,1699,20140723,주문,국내문학,<게일> 저,9788964950159,BG북갤러리,20110224.0,22,1,N,,기기PID_PC,부산광역시,부산진구,1,5
마음에 들어,1718,20140819,주문,국내문학,<김나영> 저,9788993418743,포북(forbook),20140130.0,20,1,N,,기기PID_PC,충청북도,충주시,1,19
내가 사랑한 유럽 TOP10,1720,20140707,주문,국내문학,<정여울> 저/<대한항공 여행사진 공모전 당선작> 등 사진,9788970653976,홍익출판사,20140110.0,20,1,N,,기기PID_PC,부산광역시,동래구,2,628
나만 알고싶은 유럽 TOP10,1720,20140707,주문,국내문학,<정여울> 저,9788970654195,홍익출판사,20140618.0,20,1,N,,기기PID_PC,부산광역시,동래구,2,145
버티는 삶에 관하여,1729,20141003,주문,국내문학,<허지웅> 저,9788954625883,문학동네,20140926.0,22,1,N,,기기PID_PC,광주광역시,동구,1,107
난장이가 쏘아올린 작은 공,1745,20140819,주문,국내문학,<조세희> 저,9788995151204,이성과 힘,20000710.0,23,1,N,,기기PID_PC,경상북도,포항시 북구,2,62
삼포 가는 길,1745,20140819,주문,국내문학,<황석영> 저,9788936460174,창비,20001031.0,23,1,N,,기기PID_PC,경상북도,포항시 북구,2,6
내 심장을 쏴라,1817,20140828,주문,국내문학,<정유정> 저,9788956602998,은행나무,20090427.0,1,1,N,,안드로이드커머스앱,경기도,양주시,1,75
사랑하라 한번도 상처받지 않은 것처럼,1822,20140108,주문,국내문학,<류시화> 편,9788995501474,오래된미래,20050330.0,20,2,N,,그 외,충청북도,충주시,4,50
고래와 수증기,1822,20141201,주문,국내문학,<김경주> 저,9788932026091,문학과지성사,20140228.0,21,1,N,,기기PID_PC,충청북도,충주시,4,12
에듀케이션,1822,20141207,주문,국내문학,<김승일> 저,9788932022970,문학과지성사,20120427.0,11,1,N,,기기PID_PC,충청북도,충주시,4,2
엄마의 도쿄,1822,20140903,주문,국내문학,<김민정> 저,9788958721307,효형출판,20140730.0,22,1,N,,기기PID_PC,충청북도,충주시,4,9
바람 2,1896,20140620,주문,국내문학,<홍수연> 저,9788963710204,파란미디어,20110315.0,23,1,N,,기기PID_PC,경상남도,거제시,2,4
바람 1,1896,20140620,주문,국내문학,<홍수연> 저,9788963710198,파란미디어,20110315.0,23,1,N,,기기PID_PC,경상남도,거제시,2,4
김연아의 7분 드라마,1932,20140301,주문,국내문학,<김연아> 저,9788945125156,중앙출판사(JDM),20100128.0,2,1,N,,그 외,서울특별시,노원구,1,31
퇴마록 국내편 1,1945,20141106,주문,국내문학,<이우혁> 저,9788954615860,엘릭시르,20110908.0,22,1,N,,기기PID_PC,경기도,여주시,4,7
퇴마록 국내편 2,1945,20141106,주문,국내문학,<이우혁> 저,9788954615877,엘릭시르,20110908.0,22,1,N,,기기PID_PC,경기도,여주시,4,7
퇴마록 외전 : 마음의 칼,1945,20141106,주문,국내문학,<이우혁> 저,9788954625685,엘릭시르,20140912.0,22,1,N,,기기PID_PC,경기도,여주시,4,31
팜피넬라 3,1945,20140204,주문,국내문학,<귀여니> 저,9788958043676,반디출판사,20131022.0,20,1,N,,그 외,경기도,여주시,4,1
칼의 노래,1964,20140507,주문,국내문학,<김훈> 저,9788954617246,문학동네,20120105.0,21,1,N,,기기PID_PC,인천광역시,연수구,1,120
외딴방,2039,20140116,주문,국내문학,<신경숙> 저,9788982812460,문학동네,20010630.0,21,1,N,,그 외,충청남도,보령시,9,16
난장이가 쏘아올린 작은 공,2039,20140116,주문,국내문학,<조세희> 저,9788995151204,이성과 힘,20000710.0,21,1,N,,그 외,충청남도,보령시,9,62
남한산성,2039,20140116,주문,국내문학,<김훈> 저,9788956250595,학고재,20070414.0,21,1,N,,그 외,충청남도,보령시,9,50
어디선가 나를 찾는 전화벨이 울리고,2039,20140116,주문,국내문학,<신경숙> 저,9788954611275,문학동네,20100518.0,21,1,N,,그 외,충청남도,보령시,9,28
가까이,2039,20140406,주문,국내문학,<이효리> 저,9788956055947,북하우스,20120525.0,19,1,N,,그 외,충청남도,보령시,9,4
죽은 왕녀를 위한 파반느,2039,20140116,주문,국내문학,<박민규> 저,9788959133918,예담,20090720.0,21,1,N,,그 외,충청남도,보령시,9,36
두근두근 내 인생,2039,20140116,주문,국내문학,<김애란> 저,9788936433871,창비,20110602.0,21,1,N,,그 외,충청남도,보령시,9,218
지도 밖으로 행군하라,2039,20140717,주문,국내문학,<한비야> 저,9788971844427,푸른숲,20050912.0,10,1,N,,기기PID_PC,충청남도,보령시,9,23
엄마를 부탁해,2039,20140116,주문,국내문학,<신경숙> 저,9788936433673,창비,20081024.0,21,1,N,,그 외,충청남도,보령시,9,72
소현,2040,20140923,주문,국내문학,<김인숙> 저,9788957074848,자음과모음(이룸),20100308.0,15,1,N,,모바일웹,경기도,양주시,1,1
시 삼백 詩三百 2,2068,20140617,주문,국내문학,<김지하> 저,9788957074916,자음과모음(이룸),20100319.0,21,1,N,,기기PID_PC,경상북도,포항시 남구,3,1
시 삼백 詩三百 3,2068,20140617,주문,국내문학,<김지하> 저,9788957074923,자음과모음(이룸),20100319.0,21,1,N,,기기PID_PC,경상북도,포항시 남구,3,1
시 삼백 詩三百 1,2068,20140617,주문,국내문학,<김지하> 저,9788957074909,자음과모음(이룸),20100319.0,21,1,N,,기기PID_PC,경상북도,포항시 남구,3,1
당신이 있어 외롭지 않습니다,2092,20140310,주문,국내문학,<전지은> 저,9788901140599,웅진지식하우스,20120120.0,15,1,N,,그 외,충청북도,청주시 상당구,1,2
구운몽,2100,20140207,주문,국내문학,<김만중> 저/<송성욱> 역,9788937460722,민음사,20030131.0,20,1,N,,그 외,대전광역시,동구,1,31
김연아의 7분 드라마,2106,20140226,주문,국내문학,<김연아> 저,9788945125156,중앙출판사(JDM),20100128.0,23,1,N,,그 외,경상북도,안동시,1,31
고양이 여행 세트,2114,20141016,주문,국내문학,<이용한> 저,9788937834745,북폴리오,20140910.0,22,1,N,,기기PID_PC,충청북도,영동군,1,2
달팽이 안에 달,2155,20140406,주문,국내문학,<김은주> 저,9788925545615,알에이치코리아(RHK),20120102.0,19,1,N,,그 외,전라남도,광양시,1,27
젊은날의 초상,2198,20140814,주문,국내문학,<이문열> 저,9788937420122,민음사,20051125.0,22,1,N,,기기PID_PC,부산광역시,남구,1,4
아크 더 레전드 3,2203,20140628,주문,국내문학,<유성> 저,9788925798837,로크미디어,20140220.0,20,1,N,,기기PID_PC,전라북도,부안군,6,2
아크 더 레전드 6,2203,20140628,주문,국내문학,<유성> 저,9791125553090,로크미디어,20140602.0,20,1,N,,기기PID_PC,전라북도,부안군,6,1
아크 더 레전드 2,2203,20140628,주문,국내문학,<유성> 저,9788925798820,로크미디어,20140115.0,20,1,N,,기기PID_PC,전라북도,부안군,6,2
아크 더 레전드 1,2203,20140628,주문,국내문학,<유성> 저,9788925798813,로크미디어,20140115.0,20,1,N,,기기PID_PC,전라북도,부안군,6,1
아크 더 레전드 4,2203,20140628,주문,국내문학,<유성> 저,9788925798844,로크미디어,20140324.0,20,1,N,,기기PID_PC,전라북도,부안군,6,1
아크 더 레전드 5,2203,20140628,주문,국내문학,<유성> 저,9788925798851,로크미디어,20140428.0,20,1,N,,기기PID_PC,전라북도,부안군,6,1
왕은 웃었다 4.5,2227,20141228,주문,국내문학,<류재빈> 저,9788926761625,파피루스(디앤씨미디어),20130731.0,10,1,N,,안드로이드커머스앱,광주광역시,북구,3,2
마법군주 인 칼리스타 11,2227,20141226,주문,국내문학,<발렌> 저,9788954243131,드림북스,20130523.0,21,1,N,,기기PID_PC,광주광역시,북구,3,1
마법군주 인 칼리스타 12,2227,20141226,주문,국내문학,<발렌> 저,9788954243148,드림북스,20140218.0,21,1,N,,기기PID_PC,광주광역시,북구,3,4
괜찮아 사랑이야 세트,2236,20140922,주문,국내문학,<도종환> 저/<송필용> 그림/<노희경> 극본/<김규태> 감독,9788925553719,알에이치코리아(RHK),20141006.0,0,1,N,,안드로이드커머스앱,충청남도,천안시 동남구,1,1
사랑하라 한번도 상처받지 않은 것처럼,2252,20140121,주문,국내문학,<류시화> 편,9788995501474,오래된미래,20050330.0,16,1,N,,그 외,울산광역시,남구,8,50
끌림,2252,20140604,주문,국내문학,<이병률> 저,9788993928181,달,20100701.0,20,1,N,,기기PID_PC,울산광역시,남구,8,72
보통의 존재,2252,20140121,주문,국내문학,<이석원> 저,9788993928037,달,20091104.0,16,1,N,,그 외,울산광역시,남구,8,79
